time elapsed,date,time,magnitude,x,y,z,field control set point,input state
12.7,05/22/2025,14:55:01.418000,5.83271312e-05,-2.73495524e-05,-2.1942527e-05,-4.66109614e-05,9.91e+37,0
12.8,05/22/2025,14:55:01.518000,5.8693341e-05,-2.69300461e-05,-2.32545574e-05,-4.66787581e-05,9.91e+37,0
12.9,05/22/2025,14:55:01.618000,5.89364508e-05,-2.66757342e-05,-2.44552919e-05,-4.65171918e-05,9.91e+37,0
13.0,05/22/2025,14:55:01.718000,5.92254321e-05,-2.54270578e-05,-2.48937956e-05,-4.73435896e-05,9.91e+37,0
13.1,05/22/2025,14:55:01.818000,6.08718929e-05,-2.56568828e-05,-2.42359757e-05,-4.9595657e-05,9.91e+37,0
13.2,05/22/2025,14:55:01.918000,6.058851e-05,-2.6124186e-05,-2.31243797e-05,-4.95354168e-05,9.91e+37,0
13.3,05/22/2025,14:55:02.018000,6.00764413e-05,-2.5996642e-05,-2.17861966e-05,-4.95854318e-05,9.91e+37,0
13.4,05/22/2025,14:55:02.118000,5.94591511e-05,-2.60353301e-05,-2.05280783e-05,-4.93573727e-05,9.91e+37,0
13.5,05/22/2025,14:55:02.218000,5.91785961e-05,-2.63463439e-05,-1.92280818e-05,-4.93787128e-05,9.91e+37,0
13.6,05/22/2025,14:55:02.318000,5.89542329e-05,-2.64983097e-05,-1.80303182e-05,-4.94807921e-05,9.91e+37,0
13.7,05/22/2025,14:55:02.418000,5.82343604e-05,-2.62813405e-05,-1.68085957e-05,-4.91731937e-05,9.91e+37,0
13.8,05/22/2025,14:55:02.518000,5.8017587e-05,-2.63328819e-05,-1.55849737e-05,-4.92922745e-05,9.91e+37,0
13.9,05/22/2025,14:55:02.618000,5.74602459e-05,-2.61945508e-05,-1.42355337e-05,-4.91210235e-05,9.91e+37,0
14.0,05/22/2025,14:55:02.718000,5.69980321e-05,-2.54109882e-05,-1.33072707e-05,-4.92541764e-05,9.91e+37,0
14.1,05/22/2025,14:55:02.818000,5.94026733e-05,-2.64638481e-05,-1.34266712e-05,-5.14593708e-05,9.91e+37,0
14.2,05/22/2025,14:55:02.918000,5.90747637e-05,-2.5314324e-05,-1.45252066e-05,-5.13617667e-05,9.91e+37,0
14.3,05/22/2025,14:55:03.018000,5.96757859e-05,-2.55143523e-05,-1.58804542e-05,-5.15560707e-05,9.91e+37,0
14.4,05/22/2025,14:55:03.118000,6.05927553e-05,-2.60859894e-05,-1.71963272e-05,-5.19161775e-05,9.91e+37,0
14.5,05/22/2025,14:55:03.218000,6.07912873e-05,-2.6002744e-05,-1.830871e-05,-5.1809546e-05,9.91e+37,0
14.6,05/22/2025,14:55:03.318000,6.11415195e-05,-2.59201174e-05,-1.94903156e-05,-5.18320414e-05,9.91e+37,0
14.7,05/22/2025,14:55:03.418000,6.16542235e-05,-2.57802195e-05,-2.09422787e-05,-5.19427042e-05,9.91e+37,0
14.8,05/22/2025,14:55:03.518000,6.18740465e-05,-2.55859359e-05,-2.20038057e-05,-5.18612577e-05,9.91e+37,0
14.9,05/22/2025,14:55:03.618000,6.22255756e-05,-2.51377323e-05,-2.32870878e-05,-5.19406221e-05,9.91e+37,0
15.0,05/22/2025,14:55:03.718000,6.21500691e-05,-2.44578461e-05,-2.42676682e-05,-5.17254786e-05,9.91e+37,0
